relone_date,gov_date,type,feature,description
2019/07/24,,Enhancement,Structured Analytics,"When you run name normalization, we now automatically merge entities that are identified with existing entities created by Processing, Legal Hold or Case Dynamics when their first name and last name values match. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Search,We fixed an issue in which editing a modified but unsaved saved search from the search browser context menu loaded unsaved modified conditions instead of previously saved conditions. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,List Page,We fixed an issue in which the Item List didn't load as a result of an erroneous query to generate a visualization dashboard. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,Mass Operations,"We fixed an issue in which customers would see unexpected results when performing mass operations with custom search providers (dtSearch, Keyword) against saved searches with relational fields included. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Search,The Save As action on an existing saved search now prompts the user with a modal to update the name of the search. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Search,You are now able to copy existing conditions cards in the search panel with one click via a copy icon. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Search,The saved search form in the saved search browser now launches in a modal with updated styling. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Review,Secondary buttons on Relativity Forms Modals have been updated with a secondary button style. Delete buttons have been updated with a destructive button style. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Review,The timeline in the Short Message Viewer now persists any sizing changes applied while you review SMS documents. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Review,The Short Message Viewer now takes your current Viewer type into account when opening attachments. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Review,You can now fully collapse and hide the timeline in the Short Message Viewer. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Review,The Review Interface now displays the Relativity logo while it is loading the Outside In Viewer. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Review,The Short Message Viewer now supports zoom functionality. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Legal Hold,"There is a new Task object that allows you to create work tasks and associate them to any project. You can assign tasks to Project Members (not Custodians), who are people assigned a Role that has the Project Member system tag enabled. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Legal Hold,"You can now add Project Members to any project by assigning a role that has the Project Member system tag enabled. Project members can be assigned tasks, but they can't be placed on holds within a given project. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Legal Hold,"You can now customize custodian pickers by setting which columns to display, including custom fields, as well as the column order, the default width, and the column header text. You can also access picker configurations under the Item Selectors menu option in the Legal Hold Settings. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Processing Administration,"In instances where Lockbox is enabled, on the worker monitoring tab, when a user views a worker thread for a workspace they do not have access to, status fields will display ""Item Secured"" instead of the previous message ""Failure retrieving processing data."" (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Infrastructure,"When a Processing DeleteBatch job with a large amount of data is executing, Worker Status information will be correctly reflected in the Relativity Servers and Worker Monitoring tabs. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,File Handlers,Relativity Processing now supports Encrypted ALZ (AlZip) files. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,Errors,password-protected ALZ files will now throw the proper error message when Relativity Processing is unable to decrypt them. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,Errors,"When attempting to extract text or open email/MSG files when Processing, we attempt to open the file from disk if opening it from memory fails, which should lead to less out of memory issues when Processing email files. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Discovery,Certain HWP files with embedded scripts could cause processing jobs to become stuck. This has been fixed. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,Discovery,"Some Microsoft Office and Open Office files were incorrectly identified as container (zip) files, if the XML files that defined their contents were UTF-16 encoded instead of UTF-8. This has been fixed. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Discovery,"Some HTML formatted emails are handled more similarly to how Outlook handles them; emails with content before the HTML tag have the important content shifted to the body tag of the email, leading to emails with proper extracted text content. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Discovery,Fixed an issue where the 'Comments' metadata for DOCX files was being captured as 'Office/Description' instead of 'Office/Comments'. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Discovered Files,"You can now create widgets and dashboards to visualize discovered data prior to publish. In addition, you can export the list view. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Publish,"Time Zones on the Processing Data Source and the Worker server now function properly, eliminating job level publish errors caused by mismatched values. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Discovery,BCC/CC/To fields are now parsed properly even when the length is greater than 8192 bytes. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,Publish,"When a stuck job is resolved and the agent is back up, Publish jobs now properly resume. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Processing Agents,The Processing Set Manager agent's activity messages will now correctly refer to the Processing Data Sources rather than Processing Sets. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Relativity Desktop Client,"On the Workspace Details, the console now has a link for downloading the Relativity Desktop Client. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Installation enhancements,The RDC installer is now available as an .exe file. It is now called Relativity.Desktop.Client.Setup.exe. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Installation enhancements,"The RDC installer now checks for the software prerequisites. If you're missing any of the prerequisites, your computer must have Internet access so that the RDC installer can fetch the required software. If your computer doesn't have Internet access, the RDC installer can't retrieve the necessary software, so the installation fails. (Goatsbeard Early Access)"
